block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
1,1,theboy_drinks_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,practice,fam
1,2,norm_wheretheboy,,,,jogging_u_5020.mp4,jogging_s_5020.mp4,left,0,both,black-background,practice,test
1,3,thedoctor_eats_norm_theapple,balloons_left,balloons_right,AG,,,,,,black-background,practice,fam
1,4,norm_findtheapple,,,,underarmthrow_u_5020.mp4,underarmthrow_s_5020.mp4,right,1,both,black-background,practice,test
1,5,thebaby_eats_norm_thecookie,fireworks_left,fireworks_right,AG,,,,,,black-background,practice,fam
1,6,norm_findthebaby,,,,walking_s_5020.mp4,walking_u_5020.mp4,right,1,both,black-background,practice,test
1,7,thegirl_kicks_norm_theball,clouds_left,clouds_right,AG,,,,,,black-background,practice,fam
1,8,norm_wheretheball,,,,jumpingjacks_s_5020.mp4,jumpingjacks_u_5020.mp4,left,0,both,black-background,practice,test
2,9,thenoop_kicks_norm_theball,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,10,thenoop_eats_norm_thecookie,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,11,thenoop_spills_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,12,thenoop_eats_norm_theapple,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,13,thenoop_drinks_norm_thejuice,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,14,thenoop_spills_norm_thejuice,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,15,thenoop_drinks_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,16,thenoop_kicks_norm_theapple,beach_left,beach_right,AG,,,,,,black-background,patient,fam
2,17,norm_wherethenoop,beach_left,beach_right,,walking_s_5020.mp4,walking_u_5020.mp4,right,1,both,black-background,patient,test
3,18,thedoctor_spills_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,19,theboy_drinks_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,20,thebaby_eats_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,21,thegirl_kicks_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,22,thebaby_spills_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,23,theboy_kicks_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,24,thegirl_eat_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,25,thegirl_drinks_norm_thekita,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
3,26,norm_wherethekita,,,,jogging_s_5020.mp4,jogging_u_5020.mp4,left,0,both,black-background,agent,test
7,27,thebaby_drinks_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,28,theboy_eats_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,29,thedoctor_drinks_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,30,thedoctor_kicks_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,31,theboy_spills_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,32,thegirl_eats_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,33,thebaby_kicks_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,34,thegirl_spills_norm_themodi,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
4,35,norm_findthemodi,,,,walking_u_5020.mp4,walking_s_5020.mp4,right,1,both,black-background,agent,test
5,36,thedax_eats_norm_theapple,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,37,thedax_spills_norm_thejuice,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,38,thedax_kicks_norm_theball,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,39,thedax_drinks_norm_thejuice,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,40,thedax_kicks_norm_theapple,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,41,thedax_eats_norm_theapple,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,42,thedax_drinks_norm_themilk,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,43,thedax_spills_norm_themilk,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
5,44,norm_wherethedax,,,,jogging_u_5020.mp4,jogging_s_5020.mp4,left,0,both,black-background,patient,test
