block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
1,1,theboy_drinks_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,practice,fam
1,2,norm_wheretheboy,,,,jogging_u_5020.mp4,jogging_s_5020.mp4,left,0,both,black-background,practice,test
1,3,thedoctor_eats_norm_theapple,balloons_left,balloons_right,AG,,,,,,black-background,practice,fam
1,4,norm_findtheapple,,,,underarmthrow_u_5020.mp4,underarmthrow_s_5020.mp4,right,1,both,black-background,practice,test
1,5,thebaby_eats_norm_thecookie,fireworks_left,fireworks_right,AG,,,,,,black-background,practice,fam
1,6,norm_findthebaby,,,,walking_s_5020.mp4,walking_u_5020.mp4,right,1,both,black-background,practice,test
1,7,thegirl_kicks_norm_theball,clouds_left,clouds_right,AG,,,,,,black-background,practice,fam
1,8,norm_wheretheball,,,,jumpingjacks_s_5020.mp4,jumpingjacks_u_5020.mp4,left,0,both,black-background,practice,test
2,9,theboy_kicks_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,10,thebaby_spills_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,11,thedoctor_eats_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,12,thegirl_drinks_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,13,thegirl_kicks_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,14,thedoctor_spills_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,15,theboy_drinks_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,16,thebaby_eats_norm_thewug,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
2,17,norm_findthewug,,,,walking_s_5020.mp4,walking_u_5020.mp4,right,1,both,black-background,agent,test
3,18,thetoma_spills_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,19,thetoma_eats_norm_thecookie,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,20,thetoma_drinks_norm_themilk,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,21,thetoma_kicks_norm_theball,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,22,thetoma_drinks_norm_thejuice,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,23,thetoma_spills_norm_thejuice,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,24,thetoma_kicks_norm_theapple,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,25,thetoma_eats_norm_theapple,beach_left,beach_right,AG,,,,,,black-background,patient,fam
3,26,norm_wherethetoma,,,,jogging_s_5020.mp4,jogging_u_5020.mp4,left,0,both,black-background,patient,test
4,27,thecheem_drinks_norm_themilk,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,28,thecheem_kicks_norm_theapple,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,29,thecheem_eats_norm_theapple,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,30,thecheem_eats_norm_thecookie,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,31,thecheem_spills_norm_thejuice,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,32,thecheem_kicks_norm_theball,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,33,thecheem_spills_norm_themilk,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,34,thecheem_drinks_norm_thejuice,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
4,35,norm_findthecheem,,,,walking_u_5020.mp4,walking_s_5020.mp4,right,1,both,black-background,patient,test
5,36,thebaby_drinks_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,37,theboy_eats_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,38,thedoctor_drinks_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,39,thedoctor_kicks_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,40,theboy_spills_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,41,thegirl_eats_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,42,thebaby_kicks_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,43,thegirl_spills_norm_theblick,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
5,44,norm_findtheblick,,,,jogging_u_5020.mp4,jogging_s_5020.mp4,left,0,both,black-background,agent,test
